目标词|左分词|右分词|左分词词义集合|右分词词义集合|左分词词义以及词义代码|左分词词义|左分词单层|左分词三层|右分词词义以及词义代码|右分词词义|右分词单层|右分词三层
镜头|把|对准|师_盟(Ed60) 半_概数_若干(Dn05) 动量单位_复量单位(Dn09) 跟_替_把_比(Kb03) 举_捧(Fa04) 拿_撮_揪_挎_夹(Fa06) 交界_靠近_逼近_相距(Id21) 数量单位(Dn08) 车把_方向盘_车轮_轮胎(Bo25) －堆_－把(Bb03) 盖_杆_柄(Bc04) 芽_苗_柄_蒂(Bh12) 控制_把持(Hc10)|依照_根据_趁(Kb07)|跟_替_把_比(Kb03)|跟_替_把_比|K|Kb03|依照_根据_趁(Kb07)|依照_根据_趁|K|Kb07
镜头|的|null|真实_虚假_确实_虚妄(Ed01) 的_然_所(Kd01) 弓_箭_矛_盾_剑(Bo29)|null|的_然_所(Kd01)|的_然_所|K|Kd01|null|null|null|null
镜头|把|对准|师_盟(Ed60) 半_概数_若干(Dn05) 动量单位_复量单位(Dn09) 跟_替_把_比(Kb03) 举_捧(Fa04) 拿_撮_揪_挎_夹(Fa06) 交界_靠近_逼近_相距(Id21) 数量单位(Dn08) 车把_方向盘_车轮_轮胎(Bo25) －堆_－把(Bb03) 盖_杆_柄(Bc04) 芽_苗_柄_蒂(Bh12) 控制_把持(Hc10)|依照_根据_趁(Kb07)|跟_替_把_比(Kb03)|跟_替_把_比|K|Kb03|依照_根据_趁(Kb07)|依照_根据_趁|K|Kb07
镜头|的|……|真实_虚假_确实_虚妄(Ed01) 的_然_所(Kd01) 弓_箭_矛_盾_剑(Bo29)|null|的_然_所(Kd01)|的_然_所|K|Kd01|null|null|null|null
镜头|摄像|替代|摄影_录音_放映_广播(Hh03)|露面_出面_代替(Hi17)|摄影_录音_放映_广播(Hh03)|摄影_录音_放映_广播|H|Hh03|露面_出面_代替(Hi17)|露面_出面_代替|H|Hi17
镜头|更换|null|改变_改换(Ih02)|null|改变_改换(Ih02)|改变_改换|I|Ih02|null|null|null|null
镜头|在|前|从事_参加_脱离(Hj19) 已经_方才_正在(Ka12) 向_背_在(Kb01) 活_死(Ib03) 起源_取决(Ja05) 无关(Jd01) 处于_在于_陷于_适逢(Jd02)|过去_近来(Ca11) 将来_隔日(Ca12) 前_后_中(Cb04)|向_背_在(Kb01)|向_背_在|K|Kb01|前_后_中(Cb04)|前_后_中|C|Cb04
镜头|摄像机|痛哭流涕|照相机_胶片(Bp15)|笑_哭(Ic01)|照相机_胶片(Bp15)|照相机_胶片|B|Bp15|笑_哭(Ic01)|笑_哭|I|Ic01
镜头|挡住|null|阻拦_拉后腿_拆台(Hi53) 裸露_遮盖(Id03)|null|阻拦_拉后腿_拆台(Hi53)|阻拦_拉后腿_拆台|H|Hi53|null|null|null|null
镜头|把|对准|师_盟(Ed60) 半_概数_若干(Dn05) 动量单位_复量单位(Dn09) 跟_替_把_比(Kb03) 举_捧(Fa04) 拿_撮_揪_挎_夹(Fa06) 交界_靠近_逼近_相距(Id21) 数量单位(Dn08) 车把_方向盘_车轮_轮胎(Bo25) －堆_－把(Bb03) 盖_杆_柄(Bc04) 芽_苗_柄_蒂(Bh12) 控制_把持(Hc10)|依照_根据_趁(Kb07)|跟_替_把_比(Kb03)|跟_替_把_比|K|Kb03|依照_根据_趁(Kb07)|依照_根据_趁|K|Kb07
镜头|把|对准|师_盟(Ed60) 半_概数_若干(Dn05) 动量单位_复量单位(Dn09) 跟_替_把_比(Kb03) 举_捧(Fa04) 拿_撮_揪_挎_夹(Fa06) 交界_靠近_逼近_相距(Id21) 数量单位(Dn08) 车把_方向盘_车轮_轮胎(Bo25) －堆_－把(Bb03) 盖_杆_柄(Bc04) 芽_苗_柄_蒂(Bh12) 控制_把持(Hc10)|依照_根据_趁(Kb07)|跟_替_把_比(Kb03)|跟_替_把_比|K|Kb03|依照_根据_趁(Kb07)|依照_根据_趁|K|Kb07
镜头|把|对准|师_盟(Ed60) 半_概数_若干(Dn05) 动量单位_复量单位(Dn09) 跟_替_把_比(Kb03) 举_捧(Fa04) 拿_撮_揪_挎_夹(Fa06) 交界_靠近_逼近_相距(Id21) 数量单位(Dn08) 车把_方向盘_车轮_轮胎(Bo25) －堆_－把(Bb03) 盖_杆_柄(Bc04) 芽_苗_柄_蒂(Bh12) 控制_把持(Hc10)|依照_根据_趁(Kb07)|跟_替_把_比(Kb03)|跟_替_把_比|K|Kb03|依照_根据_趁(Kb07)|依照_根据_趁|K|Kb07
镜头|算是|对准|随即_即将_终于(Ka13)|依照_根据_趁(Kb07)|随即_即将_终于(Ka13)|随即_即将_终于|K|Ka13|依照_根据_趁(Kb07)|依照_根据_趁|K|Kb07
镜头|把|对准|师_盟(Ed60) 半_概数_若干(Dn05) 动量单位_复量单位(Dn09) 跟_替_把_比(Kb03) 举_捧(Fa04) 拿_撮_揪_挎_夹(Fa06) 交界_靠近_逼近_相距(Id21) 数量单位(Dn08) 车把_方向盘_车轮_轮胎(Bo25) －堆_－把(Bb03) 盖_杆_柄(Bc04) 芽_苗_柄_蒂(Bh12) 控制_把持(Hc10)|依照_根据_趁(Kb07)|跟_替_把_比(Kb03)|跟_替_把_比|K|Kb03|依照_根据_趁(Kb07)|依照_根据_趁|K|Kb07
